 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
    36  -0.00000140  -0.00015601   0.00015602       -90.51
    37   0.00000132   0.00009461   0.00009462        89.20
    38   0.00002778  -0.00001593   0.00003202       -29.83
    39   0.00002813   0.00005645   0.00006307        63.51
    40   0.00002852   0.00012841   0.00013154        77.48
    41   0.00002826  -0.00012381   0.00012699       -77.14



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002321   0.00008818   0.00009119        75.26
     2   0.00002549   0.00006109   0.00006619        67.35
     3   0.00002646   0.00003783   0.00004617        55.04
     4   0.00002572   0.00003798   0.00004587        55.89
     5   0.00002339   0.00004493   0.00005066        62.50
     6   0.00001925   0.00005671   0.00005989        71.25
     7   0.00001460   0.00007064   0.00007213        78.32
     8   0.00001080   0.00008389   0.00008458        82.66
     9   0.00000769   0.00009560   0.00009591        85.40
    10   0.00000524   0.00010525   0.00010538        87.15
    11   0.00000438   0.00011239   0.00011248        87.77
    12   0.00000517   0.00011590   0.00011602        87.44
    13   0.00000747   0.00011532   0.00011557        86.30
    14   0.00001141   0.00011131   0.00011190        84.15
    15   0.00001592   0.00010506   0.00010626        81.38
    16   0.00001993   0.00009737   0.00009939        78.43
    17  -0.00016545  -0.00011990   0.00020433      -144.07
    18  -0.00000124  -0.00000244   0.00000274      -116.86
    19   0.00002713  -0.00274881   0.00274894       -89.43
    20   0.00002996  -0.00216396   0.00216417       -89.21
    21   0.00003121  -0.00119320   0.00119361       -88.50
    22   0.00003039  -0.00219192   0.00219213       -89.21
    23   0.00002766  -0.00276206   0.00276219       -89.43
    24   0.00002275  -0.00322731   0.00322739       -89.60
    25   0.00001719  -0.00360920   0.00360924       -89.73
    26   0.00001262  -0.00392630   0.00392632       -89.82
    27   0.00000884  -0.00416032   0.00416033       -89.88
    28   0.00000581  -0.00430160   0.00430160       -89.92
    29   0.00000468  -0.00435208   0.00435209       -89.94
    30   0.00000556  -0.00431454   0.00431455       -89.93
    31   0.00000825  -0.00419076   0.00419077       -89.89
    32   0.00001293  -0.00398707   0.00398709       -89.81
    33   0.00001834  -0.00369655   0.00369659       -89.72
    34   0.00002315  -0.00327619   0.00327628       -89.60
    35  -0.00018731  -0.00038355   0.00042684      -116.03
    36  -0.00000141  -0.00015584   0.00015585       -90.52
    37   0.00000180   0.00010739   0.00010740        89.04
    38   0.00002901  -0.00003425   0.00004489       -49.73
    39   0.00002927   0.00002913   0.00004129        44.86
    40   0.00002957   0.00008483   0.00008984        70.78
    41   0.00002991   0.00013729   0.00014051        77.71
    42   0.00002960  -0.00012675   0.00013016       -76.85



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002303   0.00007763   0.00008097        73.48
     2   0.00002529   0.00005282   0.00005856        64.41
     3   0.00002626   0.00003130   0.00004086        50.01
     4   0.00002554   0.00003105   0.00004020        50.56
     5   0.00002324   0.00003686   0.00004357        57.76
     6   0.00001916   0.00004715   0.00005089        67.89
