 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
    15.000   -0.4003   -0.6140   -0.4772  -30.0000
    16.000   -0.4588   -0.6937   -0.5466  -30.0000
    17.000   -0.5214   -0.7791   -0.6209  -30.0000
    18.000   -0.5880   -0.8702   -0.7001  -29.6045
    19.000   -0.6587   -0.9670   -0.7842  -29.1143
    20.000   -0.7335   -1.0696   -0.8732  -28.6431
    21.000   -0.8124   -1.1781   -0.9673  -28.1891
    22.000   -0.8955   -1.2925   -1.0665  -27.7510
    23.000   -0.9828   -1.4129   -1.1707  -27.3276
    24.000   -1.0743   -1.5394   -1.2801  -26.9177
    25.000   -1.1699   -1.6720   -1.3947  -26.5205
    26.000   -1.2699   -1.8109   -1.5146  -26.1353
    27.000   -1.3741   -1.9560   -1.6398  -25.7615
    28.000   -1.4827   -2.1075   -1.7704  -25.3984
    29.000   -1.5956   -2.2655   -1.9064  -25.0456
    30.000   -1.7129   -2.4301   -2.0479  -24.7027
    31.000   -1.8346   -2.6013   -2.1950  -24.3694
    32.000   -1.9609   -2.7792   -2.3477  -24.0453
    33.000   -2.0916   -2.9639   -2.5062  -23.7303
    34.000   -2.2270   -3.1556   -2.6705  -23.4240
    35.000   -2.3669   -3.3542   -2.8407  -23.1264
    36.000   -2.5116   -3.5599   -3.0169  -22.8373
    37.000   -2.6610   -3.7728   -3.1992  -22.5564
    38.000   -2.8152   -3.9929   -3.3876  -22.2838
    39.000   -2.9744   -4.2203   -3.5823  -22.0193
    40.000   -3.1385   -4.4551   -3.7834  -21.7629
    41.000   -3.3077   -4.6973   -3.9909  -21.5145
    42.000   -3.4820   -4.9469   -4.2051  -21.2740
    43.000   -3.6616   -5.2039   -4.4260  -21.0415
    44.000   -3.8465   -5.4684   -4.6537  -20.8168
    45.000   -4.0370   -5.7403   -4.8884  -20.6001
    46.000   -4.2330   -6.0194   -5.1301  -20.3912
    47.000   -4.4348   -6.3058   -5.3791  -20.1903
    48.000   -4.6426   -6.5992   -5.6355  -19.9972
    49.000   -4.8564   -6.8994   -5.8994  -19.8121
    50.000   -5.0764   -7.2060   -6.1710  -19.6350
    51.000   -5.3030   -7.5188   -6.4504  -19.4659
    52.000   -5.5362   -7.8371   -6.7377  -19.3048
    53.000   -5.7763   -8.1604   -7.0332  -19.1519
    54.000   -6.0236   -8.4880   -7.3370  -19.0071
    55.000   -6.2785   -8.8188   -7.6492  -18.8706
    56.000   -6.5411   -9.1520   -7.9700  -18.7424
    57.000   -6.8119   -9.4861   -8.2995  -18.6226
    58.000   -7.0912   -9.8198   -8.6379  -18.5113
    59.000   -7.3796  -10.1514   -8.9853  -18.4086
    60.000   -7.6775  -10.4789   -9.3418  -18.3145
    61.000   -7.9854  -10.8004   -9.7075  -18.2292
    62.000   -8.3039  -11.1134  -10.0824  -18.1529
    63.000   -8.6338  -11.4156  -10.4664  -18.0855
    64.000   -8.9758  -11.7045  -10.8596  -18.0272
    65.000   -9.3308  -11.9775  -11.2619  -17.9782
    66.000   -9.6998  -12.2323  -11.6729  -17.9385
    67.000  -10.0838  -12.4666  -12.0923  -17.9083
    68.000  -10.4842  -12.6785  -12.5196  -17.8877
    69.000  -10.9025  -12.8665  -12.9541  -17.8767
    70.000  -11.3402  -13.0298  -13.3950  -17.8754
    71.000  -11.7995  -13.1681  -13.8410  -17.8840
    72.000  -12.2825  -13.2815  -14.2906  -17.9023
    73.000  -12.7920  -13.3711  -14.7419  -17.9305
    74.000  -13.3312  -13.4383  -15.1926  -17.9685
    75.000  -13.9039  -13.4851  -15.6398  -18.0161
    76.000  -14.5147  -13.5136  -16.0803  -18.0731
    77.000  -15.1695  -13.5265  -16.5100  -18.1393
    78.000  -15.8751  -13.5262  -16.9246  -18.2142
    79.000  -16.6406  -13.5156  -17.3194  -18.2972
    80.000  -17.4775  -13.4970  -17.6890  -18.3876
    81.000  -18.4009  -13.4729  -18.0286  -18.4842
    82.000  -19.4315  -13.4455  -18.3333  -18.5859
    83.000  -20.5980  -13.4169  -18.5990  -18.6908
    84.000  -21.9428  -13.3886  -18.8225  -18.7970
    85.000  -23.5314  -13.3622  -19.0021  -18.9019
    86.000  -25.4737  -13.3390  -19.1375  -19.0025
    87.000  -27.9757  -13.3200  -19.2300  -19.0952
    88.000  -30.0000  -13.3058  -19.2823  -19.1758
    89.000  -30.0000  -13.2971  -19.2982  -19.2399
    90.000  -30.0000  -13.2941  -19.2824  -19.2824




