 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -52.000  -0.09273  -0.27789   0.29295  -108.453    0.2914   **   0.17570  -0.16103   0.23833   -42.506   -1.5012   **    2.4972   -65.9469 
 -51.000  -0.09553  -0.28548   0.30104  -108.502    0.5279   **   0.18490  -0.16277   0.24634   -41.357   -1.2140   **    2.7540   -67.1449 
 -50.000  -0.09834  -0.29306   0.30912  -108.550    0.7578   **   0.19419  -0.16451   0.25451   -40.269   -0.9306   **    3.0054   -68.2811 
 -49.000  -0.10116  -0.30061   0.31718  -108.598    0.9813   **   0.20356  -0.16625   0.26282   -39.240   -0.6515   **    3.2515   -69.3586 
 -48.000  -0.10398  -0.30814   0.32521  -108.646    1.1987   **   0.21298  -0.16799   0.27125   -38.266   -0.3771   **    3.4922   -70.3804 
 -47.000  -0.10680  -0.31565   0.33323  -108.693    1.4101   **   0.22244  -0.16972   0.27980   -37.343   -0.1078   **    3.7274   -71.3496 
 -46.000  -0.10961  -0.32312   0.34121  -108.739    1.6157   **   0.23195  -0.17144   0.28843   -36.470    0.1563   **    3.9573   -72.2693 
 -45.000  -0.11243  -0.33055   0.34915  -108.784    1.8155   **   0.24148  -0.17315   0.29715   -35.642    0.4148   **    4.1817   -73.1423 
 -44.000  -0.11523  -0.33794   0.35705  -108.829    2.0099   **   0.25103  -0.17485   0.30592   -34.858    0.6676   **    4.4007   -73.9712 
 -43.000  -0.11803  -0.34528   0.36490  -108.872    2.1989   **   0.26059  -0.17652   0.31475   -34.114    0.9145   **    4.6143   -74.7588 
 -42.000  -0.12082  -0.35257   0.37270  -108.915    2.3825   **   0.27013  -0.17817   0.32360   -33.408    1.1555   **    4.8225   -75.5074 
 -41.000  -0.12359  -0.35980   0.38044  -108.957    2.5610   **   0.27966  -0.17980   0.33247   -32.737    1.3905   **    5.0254   -76.2195 
 -40.000  -0.12634  -0.36697   0.38811  -108.998    2.7344   **   0.28916  -0.18140   0.34135   -32.101    1.6194   **    5.2229   -76.8972 
 -39.000  -0.12907  -0.37406   0.39571  -109.037    2.9028   **   0.29863  -0.18296   0.35022   -31.495    1.8421   **    5.4151   -77.5425 
 -38.000  -0.13178  -0.38109   0.40323  -109.076    3.0663   **   0.30804  -0.18449   0.35906   -30.918    2.0587   **    5.6020   -78.1575 
 -37.000  -0.13447  -0.38802   0.41066  -109.113    3.2250   **   0.31739  -0.18598   0.36786   -30.369    2.2691   **    5.7836   -78.7439 
 -36.000  -0.13712  -0.39488   0.41801  -109.150    3.3790   **   0.32666  -0.18743   0.37662   -29.846    2.4733   **    5.9600   -79.3035 
 -35.000  -0.13974  -0.40163   0.42525  -109.185    3.5282   **   0.33586  -0.18884   0.38530   -29.347    2.6714   **    6.1312   -79.8379 
 -34.000  -0.14233  -0.40829   0.43239  -109.219    3.6729   **   0.34496  -0.19019   0.39391   -28.870    2.8634   **    6.2973   -80.3485 
 -33.000  -0.14488  -0.41485   0.43942  -109.251    3.8129   **   0.35395  -0.19150   0.40243   -28.414    3.0492   **    6.4582   -80.8369 
 -32.000  -0.14739  -0.42129   0.44633  -109.282    3.9485   **   0.36283  -0.19275   0.41085   -27.978    3.2290   **    6.6140   -81.3042 
 -31.000  -0.14985  -0.42762   0.45312  -109.312    4.0796   **   0.37159  -0.19394   0.41915   -27.561    3.4028   **    6.7647   -81.7518 
 -30.000  -0.15227  -0.43383   0.45978  -109.341    4.2063   **   0.38021  -0.19507   0.42733   -27.160    3.5706   **    6.9104   -82.1809 
 -29.000  -0.15464  -0.43991   0.46629  -109.368    4.3285   **   0.38869  -0.19614   0.43537   -26.776    3.7325   **    7.0510   -82.5924 
